CCN,Provider_Name,State,num_certified_beds,avg_residents_per_day,occupancy_pct,own_for_profit_llc,own_for_profit_corp,own_for_profit_indiv,own_for_profit_partner,own_non_profit_corp,own_non_profit_other,own_non_profit_church,own_govt,is_medicare_and_medicaid,resides_in_hospital,in_chain,n_facilities_in_chain,is_ccrc,rating_overall,rating_health,rating_staffing,rating_qm,rating_qm_long,rating_qm_short,staff_total_hours,staff_rn_hours,staff_lpn_hours,staff_aide_hours,nursing_casemix_index,cycle1_deficiencies,cycle1_health_score,cycle1_total_score,total_weighted_health,infection_citations,health_inspection_overdue,ownership_changed_12m,sprinklers_full,flagged
015009,"BURNS NURSING HOME, INC.",AL,57.0,52.4,0.9192982456140351,0,1,0,0,0,0,0,0,1,0,0,0.0,0,2.0,2.0,4.0,4.0,5.0,4.0,4.04877,1.02491,0.54998,2.47388,1.37999,4.0,56.0,56.0,44.0,0.0,1,0,0,0
015010,COOSA VALLEY HEALTHCARE CENTER,AL,85.0,78.2,0.92,0,1,0,0,0,0,0,0,1,0,1,5.0,0,5.0,5.0,4.0,2.0,3.0,2.0,4.40675,0.85124,0.88032,2.6752,1.30946,0.0,0.0,0.0,1.0,0.0,1,0,0,0
015012,HIGHLANDS HEALTH AND REHAB,AL,50.0,45.3,0.9059999999999999,0,0,0,0,0,0,0,1,1,0,1,3.0,0,5.0,4.0,4.0,5.0,4.0,5.0,4.70922,0.86006,0.89179,2.95737,1.30857,0.0,0.0,0.0,5.0,0.0,1,0,0,0
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,92.0,70.2,0.7630434782608696,0,0,1,0,0,0,0,0,1,0,1,10.0,0,3.0,2.0,3.0,5.0,5.0,3.0,3.69241,0.67327,0.76632,2.25282,1.26892,4.0,32.0,32.0,26.0,0.0,1,0,0,0
015015,PLANTATION MANOR NURSING HOME,AL,103.0,97.8,0.949514563106796,0,0,1,0,0,0,0,0,1,0,0,0.0,0,2.0,2.0,4.0,2.0,2.0,3.0,3.38576,0.37319,0.7163,2.29626,1.12615,5.0,32.0,32.0,25.0,0.0,1,0,0,0
015016,ATHENS HEALTH AND REHABILITATION LLC,AL,149.0,138.7,0.9308724832214764,0,1,0,0,0,0,0,0,1,0,1,43.0,0,5.0,4.0,4.0,5.0,5.0,5.0,3.79332,0.61447,0.72478,2.45407,1.33748,0.0,0.0,0.0,5.0,0.0,1,0,0,0
015019,MERRY WOOD LODGE,AL,124.0,95.4,0.7693548387096775,1,0,0,0,0,0,0,0,1,0,1,191.0,0,1.0,1.0,3.0,4.0,5.0,2.0,3.20351,0.85477,0.4977,1.85105,1.28316,8.0,557.0,836.0,640.0,0.0,0,0,0,1
015023,HATLEY HEALTH CARE INC,AL,201.0,90.6,0.4507462686567164,0,1,0,0,0,0,0,0,1,0,0,0.0,0,4.0,4.0,3.0,4.0,4.0,3.0,3.5571,0.57518,1.2291,1.75282,1.39106,4.0,8.0,8.0,6.0,0.0,1,0,0,0
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,170.0,139.4,0.8200000000000001,0,1,0,0,0,0,0,0,1,0,1,5.0,0,3.0,3.0,3.0,3.0,4.0,2.0,3.95578,0.45535,1.06555,2.43488,1.31793,3.0,24.0,24.0,23.0,0.0,1,0,0,0
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,121.0,116.7,0.9644628099173554,0,1,0,0,0,0,0,0,1,0,1,43.0,0,1.0,1.0,3.0,2.0,3.0,1.0,3.92953,0.5425,0.69842,2.68861,1.22535,15.0,104.0,104.0,78.0,0.0,1,0,0,0
