Provider,inpatient_claim_count,outpatient_claim_count,total_claims,inpatient_ratio,unique_beneficiaries,claim_frequency_per_beneficiary,unique_attending_physicians,unique_operating_physicians,unique_other_physicians,total_inpatient_reimbursed,avg_ip_reimbursed_per_claim,total_outpatient_reimbursed,avg_op_reimbursed_per_claim,total_ip_deductible,total_op_deductible,total_reimbursed,total_deductible_amount,inpatient_reimbursement_share,avg_chronic_conditions,avg_admission_duration,max_admission_duration,diagnosis_code_diversity,procedure_code_diversity,provider_volume_percentile,avg_reimbursed_per_claim,reimbursement_outlier_score,reimbursement_per_beneficiary,PotentialFraud
PRV51001,5.0,20.0,25.0,0.2,24.0,1.0416666666666667,10.0,3.0,7.0,97000.0,19400.0,7640.0,382.0,5340.0,0.0,104640.0,5340.0,0.9269877675840978,5.725,5.0,14.0,4.7,0.3,0.4477818853974122,4185.6,1.099022652085412,4360.0,0
PRV51003,62.0,70.0,132.0,0.4696969696969697,119.0,1.1092436974789917,44.0,5.0,22.0,573000.0,9241.935483870968,32670.0,466.7142857142857,66216.0,70.0,605670.0,66286.0,0.9460597354995295,4.566820276497696,5.161290322580645,27.0,5.413594470046084,0.3870967741935484,0.8256007393715342,4588.409090909091,1.2146237994038107,5089.663865546218,1
PRV51007,3.0,69.0,72.0,0.041666666666666664,59.0,1.2203389830508475,8.0,4.0,7.0,19000.0,6333.333333333333,14710.0,213.18840579710144,3204.0,60.0,33710.0,3264.0,0.5636309700385642,4.884057971014492,5.333333333333333,7.0,5.065217391304348,0.16666666666666666,0.7073937153419594,468.19444444444446,0.03217397123724936,571.3559322033898,0
PRV51008,2.0,41.0,43.0,0.046511627906976744,36.0,1.1944444444444444,8.0,3.0,5.0,25000.0,12500.0,10630.0,259.2682926829268,2136.0,180.0,35630.0,2316.0,0.7016559079427449,3.7134146341463414,4.0,5.0,5.225609756097561,0.5,0.5790203327171903,828.6046511627907,0.13560717158501673,989.7222222222222,0
PRV51011,1.0,57.0,58.0,0.017241379310344827,53.0,1.0943396226415094,27.0,10.0,15.0,5000.0,5000.0,11630.0,204.03508771929825,1068.0,300.0,16630.0,1368.0,0.30066145520144316,5.771929824561404,5.0,5.0,5.2105263157894735,0.0,0.6536968576709796,286.7241379310345,-0.019905726343126692,313.77358490566036,0
PRV51021,29.0,228.0,257.0,0.11284046692607004,210.0,1.223809523809524,67.0,23.0,41.0,269000.0,9275.862068965518,79830.0,350.13157894736844,30972.0,520.0,348830.0,31492.0,0.7711492704182553,5.291364186327888,4.758620689655173,17.0,5.644585601935875,0.3793103448275862,0.9141404805914972,1357.3151750972763,0.2873404480813313,1661.095238095238,1
PRV51023,9.0,27.0,36.0,0.25,36.0,1.0,10.0,5.0,6.0,54000.0,6000.0,11610.0,430.0,8544.0,80.0,65610.0,8624.0,0.823045267489712,4.574074074074074,3.5555555555555554,10.0,5.685185185185185,0.2777777777777778,0.5365064695009242,1822.5,0.4208426472310516,1822.5,0
PRV51024,9.0,30.0,39.0,0.23076923076923078,38.0,1.0263157894736843,12.0,5.0,8.0,61000.0,6777.777777777777,3050.0,101.66666666666667,9612.0,90.0,64050.0,9702.0,0.9523809523809523,5.050000000000001,4.333333333333333,10.0,4.772222222222222,0.3888888888888889,0.555268022181146,1642.3076923076924,0.3691297192527656,1685.5263157894738,0
PRV51025,13.0,74.0,87.0,0.14942528735632185,78.0,1.1153846153846154,34.0,13.0,20.0,86000.0,6615.384615384615,32350.0,437.1621621621622,13884.0,400.0,118350.0,14284.0,0.7266582171525138,4.573804573804574,7.0,28.0,5.364345114345115,0.46153846153846156,0.7487985212569316,1360.344827586207,0.2882099202744886,1517.3076923076924,0
PRV51030,82.0,89.0,171.0,0.47953216374269003,149.0,1.1476510067114094,45.0,11.0,23.0,705600.0,8604.878048780487,34160.0,383.82022471910113,86508.0,240.0,739760.0,86748.0,0.9538228614685844,4.809742395176761,4.621951219512195,23.0,5.267881611400384,0.3475609756097561,0.8637707948243992,4326.081871345029,1.1393391838406155,4964.832214765101,0
PRV51031,28.0,157.0,185.0,0.15135135135135136,161.0,1.1490683229813665,58.0,14.0,28.0,329000.0,11750.0,30720.0,195.6687898089172,29904.0,340.0,359720.0,30244.0,0.9146002446347159,5.0919017288444035,5.535714285714286,18.0,5.425727934485896,0.44642857142857145,0.8734750462107209,1944.4324324324325,0.45583572311397275,2234.285714285714,0
PRV51035,1.0,29.0,30.0,0.03333333333333333,25.0,1.2,17.0,6.0,8.0,29000.0,29000.0,3560.0,122.75862068965517,1068.0,360.0,32560.0,1428.0,0.8906633906633906,6.413793103448276,14.0,14.0,5.586206896551724,0.5,0.4920517560073937,1085.3333333333333,0.20928507726851392,1302.4,0
PRV51037,23.0,431.0,454.0,0.05066079295154185,223.0,2.0358744394618835,2.0,2.0,1.0,214000.0,9304.347826086956,128230.0,297.51740139211137,24564.0,960.0,342230.0,25524.0,0.6253104637232271,5.292343387470998,4.565217391304348,17.0,5.380207807928982,0.2826086956521739,0.9538817005545287,753.8105726872246,0.11414221093856217,1534.6636771300448,1
PRV51038,30.0,111.0,141.0,0.2127659574468085,109.0,1.2935779816513762,43.0,14.0,21.0,229600.0,7653.333333333333,35890.0,323.3333333333333,30972.0,220.0,265490.0,31192.0,0.8648160006026593,4.888738738738739,4.033333333333333,24.0,4.771621621621621,0.25,0.8366913123844733,1882.9078014184397,0.4381789271426925,2435.6880733944954,0
PRV51040,9.0,77.0,86.0,0.10465116279069768,70.0,1.2285714285714286,13.0,6.0,10.0,63000.0,7000.0,11470.0,148.96103896103895,8544.0,240.0,74470.0,8784.0,0.8459782462736672,4.992784992784992,10.555555555555555,33.0,5.362914862914863,0.3888888888888889,0.7460258780036969,865.9302325581396,0.1463191444054177,1063.857142857143,0
PRV51046,8.0,30.0,38.0,0.21052631578947367,26.0,1.4615384615384615,5.0,2.0,3.0,101000.0,12625.0,8370.0,279.0,8544.0,100.0,109370.0,8644.0,0.923470787235988,5.3875,4.5,9.0,5.133333333333333,0.3125,0.5483364140480591,2878.157894736842,0.7238031974308634,4206.538461538462,0
PRV51048,4.0,34.0,38.0,0.10526315789473684,34.0,1.1176470588235294,11.0,4.0,8.0,19000.0,4750.0,8700.0,255.88235294117646,4272.0,80.0,27700.0,4352.0,0.6859205776173285,5.397058823529411,4.75,10.0,5.397058823529411,0.375,0.5483364140480591,728.9473684210526,0.10700678374973076,814.7058823529412,0
