column,dtype,n_missing,missing_rate,n_unique
Provider,object,0,0.0,5410
inpatient_claim_count,float64,0,0.0,150
outpatient_claim_count,float64,0,0.0,581
total_claims,float64,0,0.0,592
inpatient_ratio,float64,0,0.0,1024
unique_beneficiaries,float64,0,0.0,462
claim_frequency_per_beneficiary,float64,0,0.0,1782
unique_attending_physicians,float64,0,0.0,159
unique_operating_physicians,float64,0,0.0,79
unique_other_physicians,float64,0,0.0,111
total_inpatient_reimbursed,float64,0,0.0,692
avg_ip_reimbursed_per_claim,float64,0,0.0,1022
total_outpatient_reimbursed,float64,0,0.0,2800
avg_op_reimbursed_per_claim,float64,0,0.0,3935
total_ip_deductible,float64,0,0.0,146
total_op_deductible,float64,0,0.0,296
total_reimbursed,float64,0,0.0,3628
total_deductible_amount,float64,0,0.0,1221
inpatient_reimbursement_share,float64,0,0.0,1667
avg_chronic_conditions,float64,0,0.0,3008
avg_admission_duration,float64,3318,0.6133,793
max_admission_duration,float64,3318,0.6133,36
diagnosis_code_diversity,float64,0,0.0,3049
procedure_code_diversity,float64,0,0.0,500
provider_volume_percentile,float64,0,0.0,592
avg_reimbursed_per_claim,float64,0,0.0,4502
reimbursement_outlier_score,float64,0,0.0,4502
reimbursement_per_beneficiary,float64,0,0.0,4468
PotentialFraud,int64,0,0.0,2
