provider_id,model_score,model_flag,analyst_disposition,disposition_date
PRV55951,0.831,1,confirmed_fraud,2010-02-06
PRV54692,0.7056,1,cleared,2010-03-17
PRV55163,0.6932,1,confirmed_fraud,2010-01-23
PRV52502,0.8302,1,confirmed_fraud,2010-01-22
PRV53385,0.9793,1,confirmed_fraud,2010-04-14
PRV52119,0.9061,1,cleared,2010-04-01
PRV55905,0.8978,1,needs_more_info,2010-03-11
PRV57297,0.6068,1,confirmed_fraud,2010-03-31
PRV54718,0.876,1,confirmed_fraud,2010-02-07
PRV57204,0.8246,1,confirmed_fraud,2010-03-27
PRV54981,0.6088,1,cleared,2010-01-24
PRV51433,0.9774,1,confirmed_fraud,2010-02-22
PRV53802,0.7414,1,cleared,2010-01-17
PRV56249,0.8793,1,confirmed_fraud,2010-02-14
PRV52652,0.6454,1,confirmed_fraud,2010-02-09
PRV52114,0.9826,1,confirmed_fraud,2010-02-19
PRV55911,0.6305,1,cleared,2010-02-26
PRV51539,0.8716,1,confirmed_fraud,2010-01-04
PRV52100,0.9733,1,confirmed_fraud,2010-02-10
PRV53910,0.7011,1,confirmed_fraud,2010-04-11
PRV56008,0.8677,1,confirmed_fraud,2010-02-20
PRV54075,0.86,1,confirmed_fraud,2010-03-06
PRV56007,0.9546,1,confirmed_fraud,2010-01-12
PRV55049,0.8879,1,needs_more_info,2010-02-15
PRV54895,0.8477,1,needs_more_info,2010-04-26
PRV57225,0.6279,1,cleared,2010-03-06
PRV53895,0.8778,1,confirmed_fraud,2010-01-02
PRV55004,0.8976,1,cleared,2010-03-27
PRV53668,0.7455,1,confirmed_fraud,2010-04-02
PRV51369,0.9837,1,confirmed_fraud,2010-02-14
PRV55452,0.7242,1,cleared,2010-01-03
PRV53958,0.5258,1,cleared,2010-04-09
PRV53774,0.6816,1,needs_more_info,2010-01-30
PRV55057,0.6955,1,confirmed_fraud,2010-04-20
PRV54942,0.9035,1,confirmed_fraud,2010-02-12
PRV56560,0.9931,1,confirmed_fraud,2010-02-15
PRV53706,0.9877,1,confirmed_fraud,2010-04-05
PRV52858,0.5001,1,needs_more_info,2010-01-16
PRV52402,0.5491,1,cleared,2010-01-03
PRV56416,0.9827,1,confirmed_fraud,2010-04-01
PRV54059,0.637,1,cleared,2010-04-21
PRV54149,0.6583,1,cleared,2010-04-29
PRV54925,0.9169,1,confirmed_fraud,2010-01-15
PRV57158,0.6949,1,confirmed_fraud,2010-01-17
PRV54986,0.9825,1,confirmed_fraud,2010-02-09
PRV54936,0.9247,1,confirmed_fraud,2010-03-26
PRV53124,0.6245,1,needs_more_info,2010-04-19
PRV55250,0.8875,1,confirmed_fraud,2010-04-09
PRV53959,0.7466,1,confirmed_fraud,2010-02-13
PRV54739,0.9177,1,cleared,2010-04-20
PRV51842,0.9665,1,confirmed_fraud,2010-01-30
PRV52723,0.583,1,cleared,2010-01-14
PRV57312,0.6869,1,needs_more_info,2010-02-21
PRV52041,0.9476,1,confirmed_fraud,2010-01-11
PRV52136,0.5988,1,cleared,2010-03-22
PRV57295,0.7889,1,confirmed_fraud,2010-04-28
PRV52445,0.6553,1,confirmed_fraud,2010-01-12
PRV54949,0.5386,1,cleared,2010-01-14
PRV54781,0.9422,1,cleared,2010-01-21
PRV52887,0.7899,1,confirmed_fraud,2010-01-21
PRV55977,0.8787,1,confirmed_fraud,2010-03-05
PRV54225,0.7469,1,confirmed_fraud,2010-03-09
PRV54950,0.7765,1,confirmed_fraud,2010-04-24
PRV53871,0.511,1,cleared,2010-02-22
PRV51146,0.9409,1,confirmed_fraud,2010-04-21
PRV57209,0.7278,1,confirmed_fraud,2010-03-31
PRV51593,0.7706,1,confirmed_fraud,2010-04-12
PRV51005,0.7519,1,needs_more_info,2010-01-22
PRV54388,0.6858,1,cleared,2010-02-23
PRV53911,0.8848,1,confirmed_fraud,2010-04-19
PRV51052,0.6386,1,confirmed_fraud,2010-03-31
PRV55916,0.952,1,cleared,2010-01-26
PRV53005,0.8672,1,cleared,2010-04-11
PRV51514,0.76,1,cleared,2010-04-02
PRV56396,0.7959,1,confirmed_fraud,2010-01-17
PRV52152,0.6921,1,cleared,2010-01-08
PRV51501,0.9659,1,cleared,2010-01-31
PRV56523,0.6205,1,cleared,2010-02-25
PRV52337,0.8668,1,confirmed_fraud,2010-01-18
PRV54244,0.5792,1,cleared,2010-01-03
PRV52146,0.5813,1,cleared,2010-01-13
PRV57185,0.5799,1,cleared,2010-02-06
PRV53749,0.8814,1,confirmed_fraud,2010-02-15
PRV51342,0.6909,1,cleared,2010-02-06
PRV52396,0.818,1,cleared,2010-02-22
PRV52982,0.8306,1,confirmed_fraud,2010-03-27
PRV56703,0.5052,1,cleared,2010-01-29
PRV51183,0.5991,1,cleared,2010-02-23
PRV57533,0.8106,1,cleared,2010-03-28
PRV54933,0.7501,1,confirmed_fraud,2010-01-06
PRV56103,0.9144,1,needs_more_info,2010-04-22
PRV51507,0.7186,1,cleared,2010-04-29
PRV53692,0.9878,1,confirmed_fraud,2010-02-03
PRV57021,0.697,1,confirmed_fraud,2010-04-16
PRV53770,0.5811,1,cleared,2010-01-30
PRV55482,0.9451,1,confirmed_fraud,2010-04-19
PRV57141,0.5819,1,needs_more_info,2010-03-20
PRV57502,0.9866,1,confirmed_fraud,2010-01-29
PRV56264,0.6807,1,needs_more_info,2010-01-07
PRV55531,0.9356,1,confirmed_fraud,2010-02-16
PRV56435,0.7123,1,cleared,2010-03-30
PRV56235,0.5367,1,cleared,2010-01-27
PRV57098,0.5687,1,cleared,2010-03-02
PRV56449,0.6582,1,cleared,2010-01-14
PRV57030,0.83,1,cleared,2010-02-19
PRV57425,0.7969,1,confirmed_fraud,2010-01-03
PRV52623,0.5593,1,cleared,2010-04-28
PRV52089,0.6985,1,confirmed_fraud,2010-03-01
PRV52648,0.7576,1,confirmed_fraud,2010-04-11
PRV53918,0.9892,1,confirmed_fraud,2010-01-14
PRV56630,0.8732,1,confirmed_fraud,2010-01-20
PRV52590,0.9227,1,cleared,2010-01-21
PRV51560,0.9987,1,confirmed_fraud,2010-03-09
PRV51242,0.7267,1,cleared,2010-04-13
PRV53396,0.8099,1,needs_more_info,2010-03-13
PRV56350,0.9423,1,confirmed_fraud,2010-02-27
PRV52325,0.8622,1,confirmed_fraud,2010-04-23
PRV53938,0.5803,1,confirmed_fraud,2010-01-22
PRV56748,0.9796,1,confirmed_fraud,2010-01-19
PRV55659,0.7946,1,confirmed_fraud,2010-03-21
PRV52342,0.7955,1,needs_more_info,2010-04-12
PRV55375,0.7407,1,confirmed_fraud,2010-01-31
PRV56361,0.61,1,confirmed_fraud,2010-01-31
PRV54077,0.9025,1,confirmed_fraud,2010-03-04
PRV51471,0.9768,1,confirmed_fraud,2010-04-03
PRV54093,0.9291,1,confirmed_fraud,2010-02-02
PRV57206,0.7642,1,confirmed_fraud,2010-04-08
PRV57191,0.9357,1,confirmed_fraud,2010-03-02
PRV54939,0.7843,1,confirmed_fraud,2010-03-25
PRV51979,0.7328,1,confirmed_fraud,2010-03-16
PRV54258,0.9624,1,cleared,2010-02-26
PRV56257,0.837,1,confirmed_fraud,2010-03-05
PRV55550,0.8188,1,confirmed_fraud,2010-04-29
PRV51421,0.7947,1,confirmed_fraud,2010-02-16
PRV55506,0.7327,1,cleared,2010-04-23
PRV51126,0.8096,1,confirmed_fraud,2010-04-04
PRV53900,0.8916,1,cleared,2010-01-21
PRV51378,0.9881,1,confirmed_fraud,2010-04-14
PRV53855,0.639,1,confirmed_fraud,2010-02-14
PRV51103,0.66,1,cleared,2010-01-21
PRV51249,0.8818,1,confirmed_fraud,2010-01-30
PRV55670,0.7188,1,confirmed_fraud,2010-01-16
PRV57543,0.78,1,confirmed_fraud,2010-02-09
PRV57166,0.7038,1,cleared,2010-01-13
PRV54876,0.6267,1,confirmed_fraud,2010-03-06
PRV55030,0.8792,1,cleared,2010-04-27
PRV54390,0.7622,1,needs_more_info,2010-04-25
PRV52044,0.6879,1,cleared,2010-04-22
PRV51805,0.6489,1,confirmed_fraud,2010-01-29
PRV55913,0.9237,1,cleared,2010-01-27
PRV55039,0.8901,1,confirmed_fraud,2010-03-22
PRV53136,0.8693,1,confirmed_fraud,2010-04-26
PRV54514,0.7775,1,confirmed_fraud,2010-04-09
PRV57403,0.601,1,cleared,2010-01-24
PRV54560,0.7922,1,confirmed_fraud,2010-03-29
PRV53401,0.9495,1,cleared,2010-03-01
PRV55171,0.6476,1,confirmed_fraud,2010-02-22
PRV56437,0.8353,1,confirmed_fraud,2010-02-28
PRV51431,0.547,1,cleared,2010-03-06
PRV56253,0.9116,1,needs_more_info,2010-04-19
PRV54543,0.7027,1,confirmed_fraud,2010-04-05
PRV54832,0.6727,1,cleared,2010-01-04
PRV56591,0.6609,1,confirmed_fraud,2010-04-01
PRV55495,0.8662,1,confirmed_fraud,2010-02-06
