threshold,precision,recall,f1,n_flagged
0.05,0.3284,0.7097,0.449,67
0.1,0.3704,0.6452,0.4706,54
0.15,0.3958,0.6129,0.481,48
0.2,0.3953,0.5484,0.4595,43
0.25,0.4211,0.5161,0.4638,38
0.3,0.5,0.4839,0.4918,30
0.35,0.5357,0.4839,0.5085,28
0.4,0.5357,0.4839,0.5085,28
0.45,0.5833,0.4516,0.5091,24
0.5,0.6087,0.4516,0.5185,23
0.55,0.619,0.4194,0.5,21
0.6,0.6,0.2903,0.3913,15
0.65,0.6154,0.2581,0.3636,13
0.7,0.6,0.1935,0.2927,10
0.75,0.5714,0.129,0.2105,7
0.8,0.4,0.0645,0.1111,5
0.85,0.25,0.0323,0.0571,4
0.9,0.25,0.0323,0.0571,4
0.95,0.3333,0.0323,0.0588,3
