feature,importance
max_admission_duration,0.1440656404886045
total_reimbursed,0.13448428965813616
total_deductible_amount,0.0984439725210114
total_inpatient_reimbursed,0.07478904495049506
inpatient_claim_count,0.06242238110377668
total_ip_deductible,0.04764223047352192
procedure_code_diversity,0.036730580270750095
total_claims,0.031285981445499725
diagnosis_code_diversity,0.03061878112108877
outpatient_claim_count,0.03038260975555827
avg_ip_reimbursed_per_claim,0.02979262082788595
provider_volume_percentile,0.027105418643573232
total_outpatient_reimbursed,0.02649211137317547
claim_frequency_per_beneficiary,0.026329481595516003
reimbursement_per_beneficiary,0.02399674839227428
total_op_deductible,0.023836184702850843
unique_beneficiaries,0.022553584938621155
avg_admission_duration,0.02137445664865705
avg_chronic_conditions,0.016810645964469965
reimbursement_outlier_score,0.014810528863114514
